merges,lr,dropout,weight_decay,scheduler,vocab_size,model_size,val_ppl,train_ppl,val_loss,train_loss,epochs,ckpt_best,ckpt_last,full_config_file,run
10,0.03,0.0,0.0001,cosine_warmup,270,72900,14.04423713684082,14.06379222869873,2.642229379491603,2.643603593498454,60,../checkpoints/neural_bigram/hparams_search/best_hps_250825_191628_95eac0d6.pt,../checkpoints/neural_bigram/hparams_search/last_hps_250825_191628_95eac0d6.pt,../checkpoints/neural_bigram/hparams_search/hps_250825_191628_95eac0d6_hparams.json,hps_250825_191628_95eac0d6
10,0.003,0.0,0.0001,cosine_warmup,270,72900,14.0948486328125,14.124273300170898,2.6458093308387918,2.6478949185455427,60,../checkpoints/neural_bigram/hparams_search/best_hps_250825_191322_128c276e.pt,../checkpoints/neural_bigram/hparams_search/last_hps_250825_191322_128c276e.pt,../checkpoints/neural_bigram/hparams_search/hps_250825_191322_128c276e_hparams.json,hps_250825_191322_128c276e
10,0.03,0.3,0.0001,cosine_warmup,270,72900,14.819915771484375,33.58523941040039,2.6961138400625675,3.514086742153177,57,../checkpoints/neural_bigram/hparams_search/best_hps_250825_191734_0f15c2de.pt,../checkpoints/neural_bigram/hparams_search/last_hps_250825_191734_0f15c2de.pt,../checkpoints/neural_bigram/hparams_search/hps_250825_191734_0f15c2de_hparams.json,hps_250825_191734_0f15c2de
10,0.003,0.3,0.0001,cosine_warmup,270,72900,15.24048137664795,33.599761962890625,2.723955159491681,3.5145188920705666,60,../checkpoints/neural_bigram/hparams_search/best_hps_250825_191431_4df39219.pt,../checkpoints/neural_bigram/hparams_search/last_hps_250825_191431_4df39219.pt,../checkpoints/neural_bigram/hparams_search/hps_250825_191431_4df39219_hparams.json,hps_250825_191431_4df39219
200,0.03,0.0,0.0001,cosine_warmup,460,211600,29.54395866394043,28.256927490234375,3.3899128690679023,3.34133868190445,60,../checkpoints/neural_bigram/hparams_search/best_hps_250825_192506_64b6746f.pt,../checkpoints/neural_bigram/hparams_search/last_hps_250825_192506_64b6746f.pt,../checkpoints/neural_bigram/hparams_search/hps_250825_192506_64b6746f_hparams.json,hps_250825_192506_64b6746f
200,0.003,0.0,0.0001,cosine_warmup,460,211600,29.87071990966797,28.948339462280273,3.3968788146972657,3.3655128537963677,60,../checkpoints/neural_bigram/hparams_search/best_hps_250825_192212_3fc7bfed.pt,../checkpoints/neural_bigram/hparams_search/last_hps_250825_192212_3fc7bfed.pt,../checkpoints/neural_bigram/hparams_search/hps_250825_192212_3fc7bfed_hparams.json,hps_250825_192212_3fc7bfed
200,0.03,0.3,0.0001,cosine_warmup,460,211600,31.72735023498535,64.50949096679688,3.457184941717919,4.166812394587788,60,../checkpoints/neural_bigram/hparams_search/best_hps_250825_192605_35498ef3.pt,../checkpoints/neural_bigram/hparams_search/last_hps_250825_192605_35498ef3.pt,../checkpoints/neural_bigram/hparams_search/hps_250825_192605_35498ef3_hparams.json,hps_250825_192605_35498ef3
200,0.003,0.3,0.0001,cosine_warmup,460,211600,33.80248260498047,65.58964538574219,3.5205343368205617,4.183417569356503,60,../checkpoints/neural_bigram/hparams_search/best_hps_250825_192315_55ef4a7a.pt,../checkpoints/neural_bigram/hparams_search/last_hps_250825_192315_55ef4a7a.pt,../checkpoints/neural_bigram/hparams_search/hps_250825_192315_55ef4a7a_hparams.json,hps_250825_192315_55ef4a7a
800,0.03,0.0,0.0001,cosine_warmup,1060,1123600,43.59867477416992,32.341617584228516,3.8584121310192607,3.476354926559965,60,../checkpoints/neural_bigram/hparams_search/best_hps_250825_194426_6dadcc57.pt,../checkpoints/neural_bigram/hparams_search/last_hps_250825_194426_6dadcc57.pt,../checkpoints/neural_bigram/hparams_search/hps_250825_194426_6dadcc57_hparams.json,hps_250825_194426_6dadcc57
800,0.003,0.0,0.0001,cosine_warmup,1060,1123600,45.494834899902344,36.531097412109375,3.8175988300986914,3.5981638190856855,60,../checkpoints/neural_bigram/hparams_search/best_hps_250825_193621_04565841.pt,../checkpoints/neural_bigram/hparams_search/last_hps_250825_193621_04565841.pt,../checkpoints/neural_bigram/hparams_search/hps_250825_193621_04565841_hparams.json,hps_250825_193621_04565841
10,0.0003,0.0,0.0001,cosine_warmup,270,72900,46.971214294433594,47.143287658691406,3.8495349681123776,3.8531916383716656,60,../checkpoints/neural_bigram/hparams_search/best_hps_250825_191003_cf3aa522.pt,../checkpoints/neural_bigram/hparams_search/last_hps_250825_191003_cf3aa522.pt,../checkpoints/neural_bigram/hparams_search/hps_250825_191003_cf3aa522_hparams.json,hps_250825_191003_cf3aa522
10,0.0003,0.3,0.0001,cosine_warmup,270,72900,47.127418518066406,65.32054138183594,3.852854972190045,4.179306742889008,60,../checkpoints/neural_bigram/hparams_search/best_hps_250825_191122_f1857029.pt,../checkpoints/neural_bigram/hparams_search/last_hps_250825_191122_f1857029.pt,../checkpoints/neural_bigram/hparams_search/hps_250825_191122_f1857029_hparams.json,hps_250825_191122_f1857029
800,0.03,0.3,0.0001,cosine_warmup,1060,1123600,47.68696594238281,92.11544799804688,3.866593381632929,4.523042743592543,36,../checkpoints/neural_bigram/hparams_search/best_hps_250825_194558_67fbab94.pt,../checkpoints/neural_bigram/hparams_search/last_hps_250825_194558_67fbab94.pt,../checkpoints/neural_bigram/hparams_search/hps_250825_194558_67fbab94_hparams.json,hps_250825_194558_67fbab94
800,0.003,0.3,0.0001,cosine_warmup,1060,1123600,55.7558479309082,106.77139282226562,4.020982099616009,4.67069000117444,60,../checkpoints/neural_bigram/hparams_search/best_hps_250825_193754_f6e9b11d.pt,../checkpoints/neural_bigram/hparams_search/last_hps_250825_193754_f6e9b11d.pt,../checkpoints/neural_bigram/hparams_search/hps_250825_193754_f6e9b11d_hparams.json,hps_250825_193754_f6e9b11d
200,0.0003,0.0,0.0001,cosine_warmup,460,211600,193.71849060058594,194.74932861328125,5.266406006508685,5.271713304003756,60,../checkpoints/neural_bigram/hparams_search/best_hps_250825_191923_5773f63f.pt,../checkpoints/neural_bigram/hparams_search/last_hps_250825_191923_5773f63f.pt,../checkpoints/neural_bigram/hparams_search/hps_250825_191923_5773f63f_hparams.json,hps_250825_191923_5773f63f
200,0.0003,0.3,0.0001,cosine_warmup,460,211600,203.19537353515625,252.1576690673828,5.3141678830410575,5.530054685935601,60,../checkpoints/neural_bigram/hparams_search/best_hps_250825_192023_50ec8761.pt,../checkpoints/neural_bigram/hparams_search/last_hps_250825_192023_50ec8761.pt,../checkpoints/neural_bigram/hparams_search/hps_250825_192023_50ec8761_hparams.json,hps_250825_192023_50ec8761
800,0.0003,0.0,0.0001,cosine_warmup,1060,1123600,601.9900512695312,583.64208984375,6.400241126184878,6.36928782075771,60,../checkpoints/neural_bigram/hparams_search/best_hps_250825_192758_240cc864.pt,../checkpoints/neural_bigram/hparams_search/last_hps_250825_192758_240cc864.pt,../checkpoints/neural_bigram/hparams_search/hps_250825_192758_240cc864_hparams.json,hps_250825_192758_240cc864
800,0.0003,0.3,0.0001,cosine_warmup,1060,1123600,712.9496459960938,864.5902099609375,6.569410987522291,6.762255588670735,60,../checkpoints/neural_bigram/hparams_search/best_hps_250825_192936_820c1925.pt,../checkpoints/neural_bigram/hparams_search/last_hps_250825_192936_820c1925.pt,../checkpoints/neural_bigram/hparams_search/hps_250825_192936_820c1925_hparams.json,hps_250825_192936_820c1925
